partNumber,description,category,priceEur,purchaseCurrency,listSellingPrice,unit,brand,rating,poles,breakingCapacity,frameSize,notes
WX12N3PMFA (S),WM2 ACB 1250A 3P MF WITH MIRCROPRO4.1 RELAY ,ACB,925,EUR,0,1,C&S,,,,,
WX12N4PEDOA (S),WM2 ACB 1250A 4P EDO WITH MIRCROPRO4.1 RELAY,ACB,1250,EUR,0,1,C&S,,,,,
WX16N4PEDOA (S),WM2 ACB 1600A 4P EDO WITH MIRCROPRO4.1 RELAY,ACB,1342,EUR,0,1,C&S,,,,,
WX20N3PEDOA (S),WM2 ACB 2000A 3P EDO WITH MIRCROPRO4.1 RELAY   ,ACB,1500,EUR,0,1,C&S,,,,,
WX20N3PMFA (S),WM2 ACB 2000A 3P MF WITH MIRCROPRO4.1 RELAY  ,ACB,936.5,EUR,0,1,C&S,,,,,
WX20N4PEDOA (S),WM2 ACB 2000A 4P EDO WITH MIRCROPRO4.1 RELAY,ACB,1750,EUR,0,1,C&S,,,,,
WX332H4P2EDOB (S),3200A 4P EDO WITH MIRCROPRO4.1 RELAY WM3 ACB     ,ACB,3758,EUR,0,1,C&S,,,,,
WX332H3P2MFA (S),3200A 3P MF WITH MIRCROPRO4.1 RELAY WM3 ACB   ,ACB,1566,EUR,0,1,C&S,,,,,
,,,,,,,,,,,,
MCCB,,,,,,,,,,,,
CS800NATU800A3P,800A TP MCCB Adj Thermal Adj Mag.Trip Unit 65KA,MCCB,404.08,EUR,0,1,C&S,,,,,
CSE4NN630ATM3P-630A,630A TP Adj Therm Mag MCCB 630AF 36KA,MCCB,210.25,EUR,0,1,C&S,,,,,
CS630NATU6303,630A TP Adj Therm Mag MCCB 630AF 65KA,MCCB,275,EUR,0,1,C&S,,,,,
CSE4NN630ATM3P-630A,630A TP Adj Therm Mag MCCB 630AF 36KA,MCCB,201,EUR,0,1,C&S,,,,,
CS630NATU6303,630A TP Adj Therm Mag MCCB 630AF 65KA,MCCB,241.5,EUR,0,1,C&S,,,,,
CSE4NN630ATM3P-500A,500A TP Adj Therm Adj. Mag MCCB 630AF 36KA,MCCB,197.5,EUR,0,1,C&S,,,,,
CSE3NN400ATM4P-400A,400A 4P ADJ Therm Adj Mag MCCB 36KA   ,MCCB,179.25,EUR,0,1,C&S,,,,,
CSE3M400ATM4P-400A,400A FP Adj. Therm. Mag MCCB 25KA,MCCB,179.5,EUR,0,1,C&S,,,,,
