partNumber,description,category,priceEur,purchaseCurrency,listSellingPrice,unit,brand,rating,poles,breakingCapacity,frameSize,notes
3WJ1108-2AE02-1AD0,800A 3P FIXED MANUAL ACB,ACB,857.81,EUR,0,1,SIEMENS,,,,,
3WJ1108-2AE12-1AD0,800A 4P FIXED MANUAL ACB,ACB,1149.01,EUR,0,1,SIEMENS,,,,,
3WJ1108-2AE32-1AD0,800A 3P WITHDRAWABLE MANUAL ACB,ACB,1048.21,EUR,0,1,SIEMENS,,,,,
3WJ1108-2AE42-1AD0,800A 4P WITHDRAWABLE MANUAL ACB,ACB,1472.21,EUR,0,1,SIEMENS,,,,,
3WJ1108-2AE02-4AD0,800A 3P FIXED MOTORIZED ACB,ACB,935.36,EUR,0,1,SIEMENS,,,,,
3WJ1108-2AE12-4AD0,800A 4P FIXED MOTORIZED ACB,ACB,1226.56,EUR,0,1,SIEMENS,,,,,
3WJ1108-2AE32-4AD0,800A 3P WITHDRAWABLE MOTORIZED ACB,ACB,1125.76,EUR,0,1,SIEMENS,,,,,
3WJ1108-2AE42-4AD0,800A 4P WITHDRAWABLE MOTORIZED ACB,ACB,1549.76,EUR,0,1,SIEMENS,,,,,
3WJ1108-2AE12-4DD0-Z F40+S55+T40,800A 4P WITHDRAWABLE MOTORIZED ACB-WITH ACCESORIES,ACB,1398.72,EUR,0,1,SIEMENS,,,,,
,,,,,0,1,,,,,,
,,,,,0,1,,,,,,
3WJ1110-2AE02-1AD0,1000A 3P FIXED MANUAL ACB,ACB,963.41,EUR,0,1,SIEMENS,,,,,
3WJ1110-2AE12-1AD0,1000A 4P FIXED MANUAL ACB,ACB,1291.41,EUR,0,1,SIEMENS,,,,,
3WJ1110-2AE32-1AD0,1000A 3P WITHDRAWABLE MANUAL ACB,ACB,1134.61,EUR,0,1,SIEMENS,,,,,
3WJ1110-2AE42-1AD0,1000A 4P WITHDRAWABLE MANUAL ACB,ACB,1574.61,EUR,0,1,SIEMENS,,,,,
3WJ1110-2AE02-4AD0,1000A 3P FIXED MOTORIZED ACB,ACB,1040.96,EUR,0,1,SIEMENS,,,,,
3WJ1110-2AE12-4AD0,1000A 4P FIXED MOTORIZED ACB,ACB,1368.96,EUR,0,1,SIEMENS,,,,,
3WJ1110-2AE32-4AD0,1000A 3P WITHDRAWABLE MOTORIZED ACB,ACB,1212.16,EUR,0,1,SIEMENS,,,,,
3WJ1110-2AE42-4AD0,1000A 4P WITHDRAWABLE MOTORIZED ACB,ACB,1652.16,EUR,0,1,SIEMENS,,,,,
3WJ1110-2AE42-4DD0-Z F40+R55+T40,1000A 4P WITHDRAWABLE MOTORIZED ACB-with changeover accessories,ACB,1985.92,,0,1,SIEMENS,,,,,
,,,,,0,1,,,,,,
3WJ1112-2AE02-1AD0,1250A 3P FIXED MANUAL ACB,ACB,1041.81,EUR,0,1,SIEMENS,,,,,
3WJ1112-2AE12-1AD0,1250A 4P FIXED MANUAL ACB,ACB,1349.01,EUR,0,1,SIEMENS,,,,,
3WJ1112-2AE32-1AD0,1250A 3P WITHDRAWABLE MANUAL ACB,ACB,1241.81,EUR,0,1,SIEMENS,,,,,
3WJ1112-2AE42-1AD0,1250A 4P WITHDRAWABLE MANUAL ACB,ACB,1736.21,EUR,0,1,SIEMENS,,,,,
3WJ1112-2AE02-4AD0,1250A 3P FIXED MOTORIZED ACB,ACB,1119.36,EUR,0,1,SIEMENS,,,,,
3WJ1112-2AE12-4AD0,1250A 4P FIXED MOTORIZED ACB,ACB,1426.56,EUR,0,1,SIEMENS,,,,,
3WJ1112-2AE32-4AD0,1250A 3P WITHDRAWABLE MOTORIZED ACB,ACB,1319.36,EUR,0,1,SIEMENS,,,,,
3WJ1112-2AE42-4AD0,1250A 4P WITHDRAWABLE MOTORIZED ACB,ACB,1813.76,EUR,0,1,SIEMENS,,,,,
3WJ1112-2AE42-4DD0-Z F40+R55+T40,1250A 4P WITHDRAWABLE MOTORIZED ACB-with changeover accessories,ACB,1985.92,EUR,0,1,SIEMENS,,,,,
,,,,,0,1,,,,,,
