partNumber,description,category,priceEur,purchaseCurrency,listSellingPrice,unit,brand,rating,poles,breakingCapacity,frameSize,notes
,,,,,,,,,,,,
BUSBAR,,,,,,,,,,,,
100X10MM,100X10MM,BUSBAR,135,EUR,0,1,,,,,,
80X10MM,80X10MM,BUSBAR,108,EUR,0,1,,,,,,
60X10MM ,60X10MM ,BUSBAR,81,EUR,0,1,,,,,,
50X10MM ,50X10MM ,BUSBAR,69,EUR,0,1,,,,,,
40X10MM ,40X10MM ,BUSBAR,54,EUR,0,1,,,,,,
30X10MM,30X10MM,BUSBAR,42,EUR,0,1,,,,,,
40X5MM,40X5MM,BUSBAR,27,EUR,0,1,,,,,,
20X10MM,20X10MM,BUSBAR,27,EUR,0,1,,,,,,
30X5MM,30X5MM,BUSBAR,21,EUR,0,1,,,,,,
20X5MM,20X5MM,BUSBAR,13.5,EUR,0,1,,,,,,
,,,,,,,,,,,,
LK 34 -250A,LK 34 -250A,busbar-link,31.5,EUR,0,1,LINKWELL,,,,,
LK 34 -125A,LK 34 -125A,busbar-link,31.5,EUR,0,1,LINKWELL,,,,,
LK-160A,LK-160A,busbar-link,4.39,EUR,0,1,LINKWELL,,,,,
LK-125A,LK-125A,busbar-link,3.77,EUR,0,1,LINKWELL,,,,,
LK-80A,LK-80A,busbar-link,2.4,EUR,0,1,LINKWELL,,,,,
,,,,,,,,,,,,
CABLE,CABLE,,,,,,,,,,,
95SQMM,95SQMM,CABLE,13.85,EUR,0,1,COAST CABLE,,,,,
70SQMM,70SQMM,CABLE,10.2,EUR,0,1,COAST CABLE,,,,,
50SQMM,50SQMM,CABLE,7.85,EUR,0,1,COAST CABLE,,,,,
35SQMM,35SQMM,CABLE,4.95,EUR,0,1,COAST CABLE,,,,,
25SQMM,25SQMM,CABLE,3.45,EUR,0,1,COAST CABLE,,,,,
16SQMM,16SQMM,CABLE,2.95,EUR,0,1,COAST CABLE,,,,,
10SQMM,10SQMM,CABLE,1.75,EUR,0,1,COAST CABLE,,,,,
6SQMM,6SQMM,CABLE,0.9,EUR,0,1,COAST CABLE,,,,,
4SQMM,4SQMM,CABLE,0.7,EUR,0,1,COAST CABLE,,,,,
,,,,,,,,,,,,
ENCLOSURE,ENCLOSURE,,,,,,,,,,,
800(W)X800(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,380,EUR,0,1,LOCAL,,,,,
600(W)X800(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,280,EUR,0,1,LOCAL,,,,,
400(W)X800(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,200,EUR,0,1,LOCAL,,,,,
800(W)X600(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,332.5,EUR,0,1,LOCAL,,,,,
600(W)X600(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,245,EUR,0,1,LOCAL,,,,,
400(W)X600(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,175,EUR,0,1,LOCAL,,,,,
800(W)X400(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,285,EUR,0,1,LOCAL,,,,,
600(W)X400(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,210,EUR,0,1,LOCAL,,,,,
400(W)X400(D)X2100(H)-2B,FREE STANDING,ENCLOSURE,150,EUR,0,1,LOCAL,,,,,
1000(W)X1000(H)X300(D),WALL MOUNTED,ENCLOSURE,180,EUR,0,1,LOCAL,,,,,
1000(W)X800(H)X300(D),WALL MOUNTED,ENCLOSURE,135,EUR,0,1,LOCAL,,,,,
800(W)X800(H)X250(D),WALL MOUNTED,ENCLOSURE,120,EUR,0,1,LOCAL,,,,,
800(W)X600(H)X250(D),WALL MOUNTED,ENCLOSURE,90,EUR,0,1,LOCAL,,,,,
600(W)X600(H)X250(D),WALL MOUNTED,ENCLOSURE,60,EUR,0,1,LOCAL,,,,,
