part_number,name,category,bom_category,brand,unit,purchase_price,purchase_currency,kg_per_metre,is_enclosure_cubicle,is_placeholder,source_file,flags
3WJ9111-0AD06,Shunt Trip (ST) - for continuous duty 220-240V AC / 220-250V DC,ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,35.2,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0AE06,"Undervoltage Release (UVR): Instantaneous (?8ms), Short delay (?200ms)",ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,31.2,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0AF06,Charging motor 220-240V AC / 220-250V DC,ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,137.28,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0AG01,"Auxiliary switch block2NO+2NC, S6/S5",ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,37.44,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0AH12,Position signaling switch,ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,44,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0AP01,Door sealing frame-IP41,ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,16.16,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0BA43,Key interlocking system,ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,125.76,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0BB21,Bowden cable (2m) for fixedmounted design is necessary for each circuit breaker. Spare-part for Z-option S55,ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,123.04,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0BB22,Bowden cable (2m) for withdrawable design is necessary for each circuit breaker. Spare-part for Z-option R55,ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,123.04,EUR,,no,no,component-catalog-ALL.csv,
3WJ9111-0EE31,Electronic Trip Unit (ETU)-ETU350WJ LSI,ACB SINOVA ACCESSORIES,accessories_hardware,SIEMENS,pcs,79.2,EUR,,no,no,component-catalog-ALL.csv,
