kit_group,process_type,hours,note
ACB,assembly,,
ACB,wiring,,
ACB,busbar,,
ACCESORISES,assembly,,
ACCESORISES,wiring,,
ACCESORISES,busbar,,
APFC BANK,assembly,,
APFC BANK,wiring,,
APFC BANK,busbar,,
ATS,assembly,,
ATS,wiring,,
ATS,busbar,,
ATS-SWITCH,assembly,,
ATS-SWITCH,wiring,,
ATS-SWITCH,busbar,,
BUSBAR,assembly,,
BUSBAR,wiring,,
BUSBAR,busbar,,
INCOMER-KIT,assembly,,
INCOMER-KIT,wiring,,
INCOMER-KIT,busbar,,
ISOLATOR,assembly,,
ISOLATOR,wiring,,
ISOLATOR,busbar,,
MCB,assembly,,
MCB,wiring,,
MCB,busbar,,
MCCB,assembly,,
MCCB,wiring,,
MCCB,busbar,,
METERBOARD,assembly,,
METERBOARD,wiring,,
METERBOARD,busbar,,
METERBOARD-WITH ATS,assembly,,
METERBOARD-WITH ATS,wiring,,
METERBOARD-WITH ATS,busbar,,
ONLOAD CHANGEOVER,assembly,,
ONLOAD CHANGEOVER,wiring,,
ONLOAD CHANGEOVER,busbar,,
OUTGOER-KITS,assembly,,
OUTGOER-KITS,wiring,,
OUTGOER-KITS,busbar,,
RCBO,assembly,,
RCBO,wiring,,
RCBO,busbar,,
SWITCH DISCONNECTOR,assembly,,
SWITCH DISCONNECTOR,wiring,,
SWITCH DISCONNECTOR,busbar,,
SYNCHRONIZATION,assembly,,
SYNCHRONIZATION,wiring,,
SYNCHRONIZATION,busbar,,
