kitGroup,labourGroup,kitName,mainPart,hoursPanelAssembly,hoursWiring,hoursBusbarFabrication
ACB,ACB frame 1,800A 3P FIXED MANUAL ACB-KIT,3WJ1108-2AE02-1AD0,,,
ACB,ACB frame 1,800A 4P FIXED MANUAL ACB-KIT,3WJ1108-2AE12-1AD0,,,
ACB,ACB frame 1,800A 3P WITHDRAWABLE MANUAL ACB-KIT,3WJ1108-2AE32-1AD0,,,
ACB,ACB frame 1,800A 4P WITHDRAWABLE MANUAL ACB-KIT,3WJ1108-2AE42-1AD0,,,
ACB,ACB frame 1,800A 3P FIXED MOTORIZED ACB-KIT,3WJ1108-2AE02-4AD0,,,
ACB,ACB frame 1,800A 4P FIXED MOTORIZED ACB-KIT,3WJ1108-2AE12-4AD0,,,
ACB,ACB frame 1,800A 3P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1108-2AE32-4AD0,,,
ACB,ACB frame 1,800A 4P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1108-2AE42-4AD0,,,
ACB,ACB frame 1,800A 4P WITHDRAWABLE MOTORIZED ACB-WITH ACCESSORIES-KIT,3WJ1108-2AE12-4DD0-Z F40+S55+T40,,,
ACB,ACB frame 1,1000A 3P FIXED MANUAL ACB-KIT,3WJ1110-2AE02-1AD0,,,
ACB,ACB frame 1,1000A 4P FIXED MANUAL ACB-KIT,3WJ1110-2AE12-1AD0,,,
ACB,ACB frame 1,1000A 3P WITHDRAWABLE MANUAL ACB-KIT,3WJ1110-2AE32-1AD0,,,
ACB,ACB frame 1,1000A 4P WITHDRAWABLE MANUAL ACB-KIT,3WJ1110-2AE42-1AD0,,,
ACB,ACB frame 1,1000A 3P FIXED MOTORIZED ACB-KIT,3WJ1110-2AE02-4AD0,,,
ACB,ACB frame 1,1000A 4P FIXED MOTORIZED ACB-KIT,3WJ1110-2AE12-4AD0,,,
ACB,ACB frame 1,1000A 3P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1110-2AE32-4AD0,,,
ACB,ACB frame 1,1000A 4P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1110-2AE42-4AD0,,,
ACB,ACB frame 1,1000A 4P WITHDRAWABLE MOTORIZED ACB-WITH ACCESSORIES-KIT,3WJ1110-2AE42-4DD0-Z F40+R55+T40,,,
ACB,ACB frame 1,1250A 3P FIXED MANUAL ACB-KIT,3WJ1112-2AE02-1AD0,,,
ACB,ACB frame 1,1250A 4P FIXED MANUAL ACB-KIT,3WJ1112-2AE12-1AD0,,,
ACB,ACB frame 1,1250A 3P WITHDRAWABLE MANUAL ACB-KIT,3WJ1112-2AE32-1AD0,,,
ACB,ACB frame 1,1250A 4P WITHDRAWABLE MANUAL ACB-KIT,3WJ1112-2AE42-1AD0,,,
ACB,ACB frame 1,1250A 3P FIXED MOTORIZED ACB-KIT,3WJ1112-2AE02-4AD0,,,
ACB,ACB frame 1,1250A 4P FIXED MOTORIZED ACB-KIT,3WJ1112-2AE12-4AD0,,,
ACB,ACB frame 1,1250A 3P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1112-2AE32-4AD0,,,
ACB,ACB frame 1,1250A 4P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1112-2AE42-4AD0,,,
ACB,ACB frame 1,1250A 4P WITHDRAWABLE MOTORIZED ACB with Changeover accessories-KIT,3WJ1112-2AE42-4DD0-Z F40+R55+T40,,,
ACB,ACB frame 1,1600A 3P FIXED MANUAL ACB-KIT,3WJ1116-2AE02-1AD0,,,
ACB,ACB frame 1,1600A 4P FIXED MANUAL ACB-KIT,3WJ1116-2AE12-1AD0,,,
ACB,ACB frame 1,1600A 3P WITHDRAWABLE MANUAL ACB-KIT,3WJ1116-2AE32-1AD0,,,
ACB,ACB frame 1,1600A 4P WITHDRAWABLE MANUAL ACB-KIT,3WJ1116-2AE42-1AD0,,,
ACB,ACB frame 1,1600A 3P FIXED MOTORIZED ACB-KIT,3WJ1116-2AE02-4AD0,,,
ACB,ACB frame 1,1600A 4P FIXED MOTORIZED ACB-KIT,3WJ1116-2AE12-4AD0,,,
ACB,ACB frame 1,1600A 3P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1116-2AE32-4AD0,,,
ACB,ACB frame 1,1600A 4P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1116-2AE42-4AD0,,,
ACB,ACB frame 1,1600A 4P WITHDRAWABLE MOTORIZED ACB with changeover accessories-KIT,3WJ1116-2AE42-4DD0-Z F40+R55+T40,,,
ACB,ACB frame 2,2000A 3P FIXED MANUAL ACB-KIT,3WJ1220-2AE02-1AD0,,,
ACB,ACB frame 2,2000A 4P FIXED MANUAL ACB-KIT,3WJ1220-2AE12-1AD0,,,
ACB,ACB frame 2,2000A 3P WITHDRAWABLE MANUAL ACB-KIT,3WJ1220-2AE32-1AD0,,,
ACB,ACB frame 2,2000A 4P WITHDRAWABLE MANUAL ACB-KIT,3WJ1220-2AE42-1AD0,,,
ACB,ACB frame 2,2000A 3P FIXED MOTORIZED ACB-KIT,3WJ1220-2AE02-4AD0,,,
ACB,ACB frame 2,2000A 4P FIXED MOTORIZED ACB-KIT,3WJ1220-2AE12-4AD0,,,
ACB,ACB frame 2,2000A 3P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1220-2AE32-4AD0,,,
ACB,ACB frame 2,2000A 4P WITHDRAWABLE MOTORIZED ACB-KIT,3WJ1220-2AE42-4AD0,,,
ACB,ACB frame 2,2000A 4P WITHDRAWABLE MOTORIZED ACB with changeover accessories-KIT,3WJ1220-2AE42-4DD0-Z F40+R55+T40,,,
ACB,ACB frame 2,2500A 3P FIXED MANUAL ACB-KIT,3WJ1225-2AE02-1AD0,,,
ACB,ACB frame 2,2500A 4P FIXED MANUAL ACB-KIT,3WJ1225-2AE12-1AD0,,,
ACB,ACB frame 2,2500A 3P WITHDRAWABLE MANUAL ACB-KIT,3WJ1225-2AE32-1AD0,,,
ACB,ACB frame 2,2500A 4P WITHDRAWABLE MANUAL ACB-KIT,3WJ1225-2AE42-1AD0,,,
