file,row,kit,partNumber,problem,action
kits-export-2026-08-20 (3).xlsx,152,4000A 4P WITHDRAWABLE MOTORIZED ACB with changeover accessories-KIT,100X10MM,"BUSBAR line labelled ""4000A 4P WITHDRAWABLE MOTORIZED ACB with changeover accessories-KIT"" sits under kit ""4000A 4P WITHDRAWABLE MOTORIZED ACB-KIT with changeover accessories-KIT"", which had none","moved to ""4000A 4P WITHDRAWABLE MOTORIZED ACB-KIT with changeover accessories-KIT"""
kits-export-2026-08-20 (3).xlsx,174,"20A,TP,MCCB, Adjustable, 25KA-KIT",16SQMM,"CABLE line labelled ""20A,TP,MCCB, Adjustable, 25KA-KIT"" sits under kit ""20A,4P,MCCB, Adjustable, 25KA-KIT"", which had none","moved to ""20A,4P,MCCB, Adjustable, 25KA-KIT"""
kits-export-2026-08-20 (3).xlsx,176,"25A,TP,MCCB, Adjustable, 25KA-KIT",16SQMM,"CABLE line labelled ""25A,TP,MCCB, Adjustable, 25KA-KIT"" sits under kit ""25A,4P,MCCB, Adjustable, 25KA-KIT"", which had none","moved to ""25A,4P,MCCB, Adjustable, 25KA-KIT"""
kits-export-2026-08-20 (3).xlsx,178,"32A,TP,MCCB, Adjustable, 25KA-KIT",16SQMM,"CABLE line labelled ""32A,TP,MCCB, Adjustable, 25KA-KIT"" sits under kit ""32A,4P,MCCB, Adjustable, 25KA-KIT"", which had none","moved to ""32A,4P,MCCB, Adjustable, 25KA-KIT"""
kits-export-2026-08-20 (3).xlsx,180,"40A,TP,MCCB, Adjustable, 25KA-KIT",16SQMM,"CABLE line labelled ""40A,TP,MCCB, Adjustable, 25KA-KIT"" sits under kit ""40A,4P,MCCB, Adjustable, 25KA-KIT"", which had none","moved to ""40A,4P,MCCB, Adjustable, 25KA-KIT"""
kits-export-2026-08-20 (3).xlsx,182,"50A,TP,MCCB, Adjustable, 25KA-KIT",16SQMM,"CABLE line labelled ""50A,TP,MCCB, Adjustable, 25KA-KIT"" sits under kit ""50A,4P,MCCB, Adjustable, 25KA-KIT"", which had none","moved to ""50A,4P,MCCB, Adjustable, 25KA-KIT"""
kits-export-2026-08-20 (3).xlsx,184,"63A,TP,MCCB, Adjustable, 25KA-KIT",16SQMM,"CABLE line labelled ""63A,TP,MCCB, Adjustable, 25KA-KIT"" sits under kit ""63A,4P,MCCB, Adjustable 25KA-KIT"", which had none","moved to ""63A,4P,MCCB, Adjustable 25KA-KIT"""
kits-export-2026-08-20 (3).xlsx,186,"80A,TP,MCCB, Adjustable, 25KA-KIT",25SQMM,"CABLE line labelled ""80A,TP,MCCB, Adjustable, 25KA-KIT"" sits under kit ""80A,4P,MCCB, Adjustable, 25KA-KIT"", which had none","moved to ""80A,4P,MCCB, Adjustable, 25KA-KIT"""
kits-export-2026-08-20 (3).xlsx,188,"100A,TP,MCCB, Adjustable,25KA-KIT",25SQMM,"CABLE line labelled ""100A,TP,MCCB, Adjustable,25KA-KIT"" sits under kit ""100A,4P,MCCB, Adjustable,25KA-KIT"", which had none","moved to ""100A,4P,MCCB, Adjustable,25KA-KIT"""
kits-export-2026-08-20 (3).xlsx,190,"125A,TP,MCCB, Adjustable, 25KA-KIT",35SQMM,"CABLE line labelled ""125A,TP,MCCB, Adjustable, 25KA-KIT"" sits under kit ""125A,4P,MCCB, Adjustable, 25KA-KIT"", which had none","moved to ""125A,4P,MCCB, Adjustable, 25KA-KIT"""
