kit_group,kit_name,rating,rating_unit,poles,line_no,part_number,line_category,quantity,is_main_device,source_file,flags
ACB,1000A 3P FIXED MANUAL ACB-KIT,1000,A,3,1,3WJ1110-2AE02-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 3P FIXED MANUAL ACB-KIT,1000,A,3,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 3P FIXED MOTORIZED ACB-KIT,1000,A,3,1,3WJ1110-2AE02-4AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 3P FIXED MOTORIZED ACB-KIT,1000,A,3,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 3P WITHDRAWABLE MANUAL ACB-KIT,1000,A,3,1,3WJ1110-2AE32-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 3P WITHDRAWABLE MANUAL ACB-KIT,1000,A,3,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 3P WITHDRAWABLE MOTORIZED ACB-KIT,1000,A,3,1,3WJ1110-2AE32-4AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 3P WITHDRAWABLE MOTORIZED ACB-KIT,1000,A,3,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P FIXED MANUAL ACB-KIT,1000,A,4,1,3WJ1110-2AE12-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P FIXED MANUAL ACB-KIT,1000,A,4,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P FIXED MOTORIZED ACB-KIT,1000,A,4,1,3WJ1110-2AE12-4AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P FIXED MOTORIZED ACB-KIT,1000,A,4,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P WITHDRAWABLE MANUAL ACB-KIT,1000,A,4,1,3WJ1110-2AE42-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P WITHDRAWABLE MANUAL ACB-KIT,1000,A,4,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P WITHDRAWABLE MOTORIZED ACB-KIT,1000,A,4,1,3WJ1110-2AE42-4AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P WITHDRAWABLE MOTORIZED ACB-KIT,1000,A,4,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P WITHDRAWABLE MOTORIZED ACB-WITH ACCESSORIES-KIT,1000,A,4,1,3WJ1110-2AE42-4DD0-Z F40+R55+T40,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1000A 4P WITHDRAWABLE MOTORIZED ACB-WITH ACCESSORIES-KIT,1000,A,4,2,60X10MM,busbar,6.5,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 3P FIXED MANUAL ACB-KIT,1250,A,3,1,3WJ1112-2AE02-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 3P FIXED MANUAL ACB-KIT,1250,A,3,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 3P FIXED MOTORIZED ACB-KIT,1250,A,3,1,3WJ1112-2AE02-4AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 3P FIXED MOTORIZED ACB-KIT,1250,A,3,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 3P MF WITH MIRCROPRO4.1 RELAY WM2 ACB-KIT,1250,A,3,1,WX12N3PMFA (S),ACB,1,yes,kits-export-C&S PORTFILIO.xlsx,
ACB,1250A 3P MF WITH MIRCROPRO4.1 RELAY WM2 ACB-KIT,1250,A,3,2,40X10MM,busbar,15,no,kits-export-C&S PORTFILIO.xlsx,
ACB,1250A 3P WITHDRAWABLE MANUAL ACB-KIT,1250,A,3,1,3WJ1112-2AE32-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 3P WITHDRAWABLE MANUAL ACB-KIT,1250,A,3,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 3P WITHDRAWABLE MOTORIZED ACB-KIT,1250,A,3,1,3WJ1112-2AE32-4AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 3P WITHDRAWABLE MOTORIZED ACB-KIT,1250,A,3,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P EDO WITH MIRCROPRO4.1 RELAY WM2 ACB-KIT,1250,A,4,1,WX12N4PEDOA (S),ACB,1,yes,kits-export-C&S PORTFILIO.xlsx,
ACB,1250A 4P EDO WITH MIRCROPRO4.1 RELAY WM2 ACB-KIT,1250,A,4,2,40X10MM,busbar,15,no,kits-export-C&S PORTFILIO.xlsx,
ACB,1250A 4P FIXED MANUAL ACB-KIT,1250,A,4,1,3WJ1112-2AE12-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P FIXED MANUAL ACB-KIT,1250,A,4,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P FIXED MOTORIZED ACB-KIT,1250,A,4,1,3WJ1112-2AE12-4AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P FIXED MOTORIZED ACB-KIT,1250,A,4,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P WITHDRAWABLE MANUAL ACB-KIT,1250,A,4,1,3WJ1112-2AE42-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P WITHDRAWABLE MANUAL ACB-KIT,1250,A,4,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P WITHDRAWABLE MOTORIZED ACB with Changeover accessories-KIT,1250,A,4,1,3WJ1112-2AE42-4DD0-Z F40+R55+T40,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P WITHDRAWABLE MOTORIZED ACB with Changeover accessories-KIT,1250,A,4,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P WITHDRAWABLE MOTORIZED ACB-KIT,1250,A,4,1,3WJ1112-2AE42-4AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1250A 4P WITHDRAWABLE MOTORIZED ACB-KIT,1250,A,4,2,40X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
ACB,1600A 3P FIXED MANUAL ACB-KIT,1600,A,3,1,3WJ1116-2AE02-1AD0,ACB,1,yes,kits-export-2026-08-20 (3).xlsx,
ACB,1600A 3P FIXED MANUAL ACB-KIT,1600,A,3,2,50X10MM,busbar,15,no,kits-export-2026-08-20 (3).xlsx,
